Municipality,Point No.,Location,Sample Type,Sample Date,Sample Time,Pb (mg/kg),As (mg/kg),Cd (mg/kg),Point,X (UTM),Y (UTM),Elevation (m)
Culpina,1,Río Pilaya,Head,09-10-2005,13:33,1.39,0.57,0.27,1,372486.5,7660543.8,814
Culpina,1,Río Pilaya,Muscle,09-10-2005,13:33,3.31,0.64,0.48,1,372486.5,7660543.8,814
Las Carreras,2,Purón de Escapana,Head,10-10-2005,9:00,2207,104,0.4,2,267173.1,7621425.2,2431
Las Carreras,2,Purón de Escapana,Muscle,10-10-2005,9:00,5.65,0.63,0.34,2,267173.1,7621425.2,2431
Las Carreras,3,Monte Sandoval,Fish,10-10-2005,15:25,88.38,11.58,0.25,3,271254.8,7656927,2311
Las Carreras,3,Monte Sandoval,Fish,10-10-2005,15:25,9.05,1.3,0.34,3,271254.8,7656927,2311
Camargo,4,La Vidriera,Large Fish,12-10-2005,15:00,195.9,0.23,0.18,4,268575,7700239.1,2312
Camargo,4,La Vidriera,Small Fish,12-10-2005,15:00,1.75,0.22,0.16,4,268575,7700239.1,2312
Camargo,5,La Quemada,Fish,29-10-2005,16:30,6.3,1.2,0.2,5,261657,7704511.3,2387
Camargo,5,La Quemada,Tadpoles,29-10-2005,16:30,2.14,0.83,0.1,5,261657,7704511.3,2387
Incahuasi,6,El Fuerte (Santa Elena A. Conf. Pilcomayo),Head,12-10-2005,12:20,2.35,0.17,0.2,6,315111.1,7722376.1,1969
Incahuasi,6,El Fuerte (Santa Elena A. Conf. Pilcomayo),Muscle,12-10-2005,12:20,0.02,0.17,0.03,6,315111.1,7722376.1,1969
Incahuasi,7,El Fuerte (Santa Elena D. Conf. Pilcomayo),Head,12-10-2005,13:00,2.4,19.1,0.32,7,339074.9,7739380.2,1327
Incahuasi,7,El Fuerte (Santa Elena D. Conf. Pilcomayo),Muscle,12-10-2005,13:00,2.42,18.3,0.26,7,339074.9,7739380.2,1327
Huacareta,8,Tabasay,Head,11-10-2005,11:35,2.42,0.25,0.25,8,394393.1,7649432.9,1077
Huacareta,8,Tabasay,Muscle,11-10-2005,11:35,1.04,0.14,0.14,8,394393.1,7649432.9,1077
Icla,9,Taygata,Head,07-11-2005,15:50,0.85,0.54,0.1,9,310968.9,7860111.2,2425
Icla,9,Taygata,Muscle,07-11-2005,15:50,1.71,0.55,0.04,9,310968.9,7860111.2,2425
Yamparaés,10,Sotomayor,Head,31-10-2005,11:05,3.33,0.34,0.14,10,289876.8,7858864.5,2114
Yamparaés,10,Sotomayor,Muscle,31-10-2005,11:05,0.72,0.33,0.06,10,289876.8,7858864.5,2114
Yotala,11,Puente Méndez,Head,01-11-2005,9:25,3.28,0.98,0.34,11,255792.3,7866313.2,2362
Yotala,11,Puente Méndez,Muscle,01-11-2005,9:25,0.89,0.95,0.1,11,255792.3,7866313.2,2362
Yotala,12,Tasapampa,Head,01-11-2005,15:30,2.49,0.88,0.13,12,262177.9,7862737.1,2297
Yotala,12,Tasapampa,Muscle,01-11-2005,15:30,0.23,0.87,0.07,12,262177.9,7862737.1,2297